label_rank_qid,label_rank_name,label_qid,label_name,assigned_node_count,assigned_leaf_node_count,strict_descendant_count,leaf_descendant_count,is_leaf_label
Q35409,family,Q31448,Cockatoos,89,66,89,66,0
Q35409,family,Q67024745,Alcippeidae,88,75,88,75,0
Q35409,family,Q916830,Platysteiridae,85,67,85,67,0
Q35409,family,Q215603,Ptilonorhynchidae,80,57,80,57,0
Q35409,family,Q752549,Gnatcatcher,78,67,78,67,0
Q35409,family,Q213827,Turaco,77,52,77,52,0
Q35409,family,Q217272,Glareolidae,73,59,73,59,0
Q35409,family,Q28507,stork,73,57,73,57,0
Q35409,family,Q373682,Cracticidae,73,56,73,56,0
Q35409,family,Q734720,motmot,73,56,73,56,0
Q35409,family,Q2101364,Macrosphenidae,72,57,72,57,0
Q35409,family,Q25365,Gruidae,72,56,72,56,0
Q35409,family,Q214137,Indicatoridae,71,56,71,56,0
Q35409,family,Q473939,Aegithalidae,69,57,69,57,0
Q35409,family,Q55805,albatross,68,53,68,53,0
Q35409,family,Q756871,Casuariidae,63,56,63,56,0
Q35409,family,Q212942,Jacamar,60,48,60,48,0
Q35409,family,Q3000620,Scotocercidae,60,47,60,47,0
Q35409,family,Q44245,Coraciidae,60,46,60,46,0
Q35409,family,Q788536,Podargidae,60,47,60,47,0
Q35409,family,Q184858,New World vulture,59,45,59,45,0
Q35409,family,Q180691,mousebird,58,48,58,48,0
Q35409,family,Q179983,Pteroclidae,57,43,57,43,0
Q35409,family,Q809613,Capitonidae,57,47,57,47,0
Q35409,family,Q214621,Broadbill,56,42,56,42,0
Q35409,family,Q692828,Remizidae,55,43,55,43,0
Q35409,family,Q654728,Melanocharitidae,53,38,53,38,0
Q35409,family,Q15631675,Cinclidae,52,45,52,45,0
Q35409,family,Q842378,Artamidae,52,44,52,44,0
Q35409,family,Q208492,Sulidae,51,37,51,37,0
Q35409,family,Q10749446,Coerebidae,49,47,49,47,0
Q35409,family,Q3709179,Prunellidae,47,39,47,39,0
Q35409,family,Q390189,Rhinocryptidae,46,29,46,29,0
Q35409,family,Q21666,loon,44,33,44,33,0
Q35409,family,Q752173,Phorusrhacidae,44,26,44,26,0
Q35409,family,Q752529,Phoeniculidae,44,33,44,33,0
Q35409,family,Q843381,leafbird,43,36,43,36,0
Q35409,family,Q2482272,Eupetidae,42,32,42,32,0
Q35409,family,Q171953,Numididae,41,33,41,33,0
Q35409,family,Q577363,Viduidae,39,33,39,33,0
Q35409,family,Q12845592,Haematopodidae,38,31,38,31,0
